# mRange,cKinked,cIRA,period
2.058435093952754258e+00,1.012292902389601013e+00,1.009900980161063000e+00,1.500000000000000000e+01
2.068435093952754045e+00,1.013360042464300781e+00,1.010946158868828437e+00,1.500000000000000000e+01
2.078435093952753832e+00,1.014427182539000771e+00,1.011991337576593875e+00,1.500000000000000000e+01
2.088435093952754507e+00,1.015494322613700540e+00,1.013036516284359534e+00,1.500000000000000000e+01
2.098435093952754293e+00,1.016561462688400308e+00,1.014081694992124971e+00,1.500000000000000000e+01
2.108435093952754080e+00,1.017628602763100298e+00,1.015126873699890409e+00,1.500000000000000000e+01
2.118435093952753867e+00,1.018695742837800067e+00,1.016172052407655624e+00,1.500000000000000000e+01
2.128435093952754542e+00,1.019762882912500057e+00,1.017217231115421283e+00,1.500000000000000000e+01
2.138435093952754329e+00,1.020830022987200048e+00,1.018262409823186943e+00,1.500000000000000000e+01
2.148435093952754116e+00,1.021897163061899816e+00,1.019307588530952380e+00,1.500000000000000000e+01
2.158435093952753903e+00,1.022948583565334468e+00,1.020352767238717817e+00,1.500000000000000000e+01
2.168435093952754578e+00,1.023970681983433995e+00,1.021397945946483254e+00,1.500000000000000000e+01
2.178435093952754364e+00,1.024992780401533521e+00,1.022443124654248692e+00,1.500000000000000000e+01
2.188435093952754151e+00,1.026014878819633047e+00,1.023488303362014129e+00,1.500000000000000000e+01
2.198435093952753938e+00,1.027036977237732351e+00,1.024533482069779566e+00,1.500000000000000000e+01
2.208435093952754613e+00,1.028059075655832100e+00,1.025578660777545004e+00,1.500000000000000000e+01
2.218435093952754400e+00,1.029081174073931404e+00,1.026623839485310441e+00,1.500000000000000000e+01
2.228435093952754187e+00,1.030103272492030930e+00,1.027669018193075878e+00,1.500000000000000000e+01
2.238435093952753974e+00,1.031125370910130457e+00,1.028714196900841316e+00,1.500000000000000000e+01
2.248435093952754649e+00,1.032147469328229983e+00,1.029759375608606975e+00,1.500000000000000000e+01
2.258435093952754436e+00,1.033169567746329509e+00,1.030804554316372412e+00,1.500000000000000000e+01
2.268435093952754222e+00,1.034191666164429035e+00,1.031849733024137850e+00,1.500000000000000000e+01
